path,target_1,target_2,target_3
/data/dataset/Phishing_-_3rd_Party/83d1c2651bf2011045ad766f034bcbd6/9_message.eml,malicious,phishing,third_party
/data/dataset/Phishing_-_3rd_Party/fdf151f51b08e0d024c255b62a4bcb83/0_message.eml,malicious,phishing,third_party
/data/dataset/Legitimate_Email_Confirmed/a76801181b005d509068c992604bcb4b/3_message.eml,benign,legitimate,legitimate_email_confirmed
/data/dataset/Self-Phishing/e467984b1b26f0109068c992604bcbba/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Self-Phishing/15be90761bd759109068c992604bcbcb/1_message.eml,malicious,phishing,self_phishing
/data/dataset/Spam_–_Inbound/c01417c71b6d689027278556cc4bcbc0/0_message.eml,benign,spam,inbound
/data/dataset/Phishing_-_3rd_Party/0c6e87009372bd1036c870d74dba1078/0_message.eml,malicious,phishing,third_party
/data/dataset/Phishing_–_UBC/4dc7e1f2936cda1436c870d74dba10d8/0_message.eml,malicious,phishing,ubc
/data/dataset/Self-Phishing/438c44c11bf4e51045ad766f034bcb78/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Phishing_UBC_-_Outbound/cc36c6011b6829105edd43b4bd4bcba2/0_message.eml,malicious,phishing,ubc_outbound
/data/dataset/Phishing_-_3rd_Party/69923c45934fc6105a9f30edfaba1030/0_message.eml,malicious,phishing,third_party
/data/dataset/Phishing_-_3rd_Party/12d7e5311b39a01427278556cc4bcb5c/2_message.eml,malicious,phishing,third_party
/data/dataset/Self-Phishing/f56440b61b0c6cd024c255b62a4bcb5c/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Self-Phishing/2774dd381b46091027278556cc4bcb56/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Spam_–_Inbound/842516ea93338a907295330efaba102f/1_message.eml,benign,spam,inbound
/data/dataset/Self-Phishing/06da66721baab0109068c992604bcb46/0_message.eml,malicious,phishing,self_phishing
/data/dataset/Phishing_UBC_-_Outbound/ad13b5d91b1e519024c255b62a4bcbc5/4_message.eml,malicious,phishing,ubc_outbound
"/data/dataset/Legitimate_Email_Confirmed/8e2c2d1793561614b90efd6e1dba1014/0_Dianna, I wanted to take this chance to write to you..eml",benign,legitimate,legitimate_email_confirmed
/data/dataset/Phishing_UBC_-_Outbound/4562eff8932d0250d557b2f17cba10ab/1_message.eml,malicious,phishing,ubc_outbound
/data/dataset/Phishing_-_3rd_Party/2a92d02d932352d00d60b9aefaba10c2/0_message.eml,malicious,phishing,third_party
